Device,ORG,Check_Result
NV-GW01-N1-HKG,IPC00190,BGP nbr check passed.BGP established nbr  count:2
NV-WC02-N6-SIN,IPC00190,"Ping,connect,sync CHECK passed."
NV-GW01-N6-SIN,IPC00190,BGP nbr check passed.BGP established nbr  count:2
CPE25-Performance-DUT,IPC00190,BGP nbr check passed.BGP established nbr  count:2
NV-WC02-N1-HKG,IPC00190,"Ping,connect,sync CHECK passed."
NV-GW02-N6-SIN,IPC00190,BGP nbr check passed.BGP established nbr  count:2
CPE27-HKG2-SINGLE-CPE-DUAL-INTERNET18,IPC00190,BGP nbr check passed.BGP established nbr  count:2
NV-GW02-N1-HKG,IPC00190,BGP nbr check failed. BGP established nbr  count:1
CPE31-Performance-810,IPC00190,BGP nbr check passed.BGP established nbr  count:2
